#Release 14.7 - par P.20131013 (lin64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Fri Oct 21 11:17:13 2022

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       Controller_map.ncd
#OUTPUT FILE:      Controller_pad.csv
#PART TYPE:        xc6slx25t
#SPEED GRADE:      -3
#PACKAGE:          fgg484
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,
A2,,IOBS,IO_L3N_0,UNUSED,,0,,,,,,,,,
A3,,IOBS,IO_L5N_0,UNUSED,,0,,,,,,,,,
A4,,IOBS,IO_L6N_0,UNUSED,,0,,,,,,,,,
A5,,IOBS,IO_L8N_VREF_0,UNUSED,,0,,,,,,,,,
A6,,OPAD,MGTTXN0_101,UNUSED,,,,,,,,,,,
A7,,,MGTAVTTTX_101,,,,,,,,,,,,
A8,,OPAD,MGTTXN1_101,UNUSED,,,,,,,,,,,
A9,,,GND,,,,,,,,,,,,
A10,,IPAD,MGTREFCLK0P_101,UNUSED,,,,,,,,,,,
A11,,,GND,,,,,,,,,,,,
A12,,,NC,,,,,,,,,,,,
A13,,,GND,,,,,,,,,,,,
A14,,,NC,,,,,,,,,,,,
A15,,,NC,,,,,,,,,,,,
A16,,,NC,,,,,,,,,,,,
A17,,IOBS,IO_L50N_0,UNUSED,,0,,,,,,,,,
A18,,IOBS,IO_L63N_SCP6_0,UNUSED,,0,,,,,,,,,
A19,,IOBS,IO_L64N_SCP4_0,UNUSED,,0,,,,,,,,,
A20,,IOBS,IO_L65N_SCP2_0,UNUSED,,0,,,,,,,,,
A21,,,TCK,,,,,,,,,,,,
A22,,,GND,,,,,,,,,,,,
AA1,mem_addr<4>,IOB,IO_L10N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
AA2,mem_addr<7>,IOB,IO_L10P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
AA3,pc_addr<14>,IOB,IO_L65N_CSO_B_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AA4,ext_data<14>,IOB,IO_L63P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AA5,,,GND,,,,,,,,,,,,
AA6,rf_B<12>,IOB,IO_L49P_D3_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AA7,,,VCCO_2,,,2,,,,,2.50,,,,
AA8,ext_data<0>,IOB,IO_L45P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AA9,,,GND,,,,,,,,,,,,
AA10,rf_B<4>,IOB,IO_L41P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AA11,,,VCCO_2,,,2,,,,,2.50,,,,
AA12,mem_data<10>,IOB,IO_L31P_GCLK31_D14_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AA13,,,GND,,,,,,,,,,,,
AA14,instruction<0>,IOB,IO_L6P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,YES,NONE,
AA15,,,VCCO_2,,,2,,,,,2.50,,,,
AA16,instruction<8>,IOB,IO_L19P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,YES,NONE,
AA17,,,GND,,,,,,,,,,,,
AA18,ext_addr<6>,IOB,IO_L14P_D11_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AA19,,,VCCO_2,,,2,,,,,2.50,,,,
AA20,instruction<2>,IOB,IO_L3P_D0_DIN_MISO_MISO1_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,YES,NONE,
AA21,instruction<12>,IOB,IO_L1N_M0_CMPMISO_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,YES,NONE,
AA22,,,SUSPEND,,,,,,,,,,,,
AB1,,,GND,,,,,,,,,,,,
AB2,,,PROGRAM_B_2,,,,,,,,,,,,
AB3,,,VCCO_2,,,2,,,,,2.50,,,,
AB4,ext_data<11>,IOB,IO_L63N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AB5,ext_data<13>,IOB,IO_L62N_D6_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AB6,rf_B<11>,IOB,IO_L49N_D4_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AB7,rf_B<13>,IOB,IO_L47N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AB8,rf_B<9>,IOB,IO_L45N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AB9,rf_B<1>,IOB,IO_L43N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AB10,rf_B<5>,IOB,IO_L41N_VREF_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AB11,mem_data<13>,IOB,IO_L32N_GCLK28_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AB12,mem_data<11>,IOB,IO_L31N_GCLK30_D15_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AB13,mem_data<9>,IOB,IO_L30N_GCLK0_USERCCLK_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AB14,instruction<6>,IOB,IO_L6N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,YES,NONE,
AB15,mem_data<5>,IOB,IO_L21N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AB16,instruction<10>,IOB,IO_L19N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,YES,NONE,
AB17,instruction<5>,IOB,IO_L15N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,YES,NONE,
AB18,ext_addr<3>,IOB,IO_L14N_D12_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AB19,instruction<1>,IOB,IO_L13N_D10_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,YES,NONE,
AB20,instruction<11>,IOB,IO_L3N_MOSI_CSI_B_MISO0_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,YES,NONE,
AB21,,,DONE_2,,,,,,,,,,,,
AB22,,,GND,,,,,,,,,,,,
B1,,IOBS,IO_L83N_VREF_3,UNUSED,,3,,,,,,,,,
B2,,IOBM,IO_L3P_0,UNUSED,,0,,,,,,,,,
B3,,IOBM,IO_L5P_0,UNUSED,,0,,,,,,,,,
B4,,,VCCO_0,,,0,,,,,any******,,,,
B5,,,GND,,,,,,,,,,,,
B6,,OPAD,MGTTXP0_101,UNUSED,,,,,,,,,,,
B7,,,GND,,,,,,,,,,,,
B8,,OPAD,MGTTXP1_101,UNUSED,,,,,,,,,,,
B9,,,MGTAVCCPLL0_101,,,,,,,,,,,,
B10,,IPAD,MGTREFCLK0N_101,UNUSED,,,,,,,,,,,
B11,,,GND,,,,,,,,,,,,
B12,,,NC,,,,,,,,,,,,
B13,,,NC,,,,,,,,,,,,
B14,,,NC,,,,,,,,,,,,
B15,,,GND,,,,,,,,,,,,
B16,,,NC,,,,,,,,,,,,
B17,,,GND,,,,,,,,,,,,
B18,,IOBM,IO_L63P_SCP7_0,UNUSED,,0,,,,,,,,,
B19,,,VCCO_0,,,0,,,,,any******,,,,
B20,,IOBM,IO_L65P_SCP3_0,UNUSED,,0,,,,,,,,,
B21,,,NC,,,,,,,,,,,,
B22,,,NC,,,,,,,,,,,,
C1,,IOBM,IO_L83P_3,UNUSED,,3,,,,,,,,,
C2,,,VCCO_3,,,3,,,,,2.50,,,,
C3,,IOBM,IO_L1P_HSWAPEN_0,UNUSED,,0,,,,,,,,,
C4,,IOBM,IO_L6P_0,UNUSED,,0,,,,,,,,,
C5,,IOBM,IO_L8P_0,UNUSED,,0,,,,,,,,,
C6,,,GND,,,,,,,,,,,,
C7,,IPAD,MGTRXN0_101,UNUSED,,,,,,,,,,,
